City,Aggregate rating,Price range
Abu Dhabi,4.3,3.3
Agra,3.965,2.65
Ahmedabad,4.161904761904762,2.5714285714285716
Albany,3.5549999999999997,1.7
Allahabad,3.3950000000000005,2.65
Amritsar,3.6857142857142855,1.8095238095238095
Ankara,4.305,2.8
Armidale,3.5,2.0
Athens,4.2,1.6
Auckland,4.275,3.05
Augusta,4.13,2.15
Aurangabad,3.375,2.2
Balingup,3.2,2.0
Bandung,4.2,3.0
Bangalore,4.375,2.7
Beechworth,4.6,2.0
Bhopal,3.95,2.15
Bhubaneshwar,3.9809523809523806,1.8571428571428572
Birmingham,3.6799999999999997,2.4
Bogor,3.85,2.5
Boise,4.26,2.05
Brasï¿½_lia,3.495,3.1
Cape Town,4.11,3.2
Cedar Rapids/Iowa City,4.165,2.05
Chandigarh,4.050000000000001,2.5
Chatham-Kent,3.7,2.0
Chennai,4.3149999999999995,2.45
Clatskanie,4.3,1.0
Cochrane,3.1,2.0
Coimbatore,4.135,2.4
Colombo,3.87,2.85
Columbus,4.029999999999999,2.15
Consort,3.0,2.0
Dalton,4.11,1.4
Davenport,3.715,2.0
Dehradun,4.05,3.05
Des Moines,4.235,2.15
Dicky Beach,3.6,1.0
Doha,4.0600000000000005,3.65
Dubai,4.37,3.05
Dubuque,3.535,1.9
East Ballina,4.1,2.0
Edinburgh,4.09,2.9
Faridabad,1.8669322709163347,1.454183266932271
Fernley,3.7,1.0
Flaxton,3.5,3.0
Forrest,3.7,2.0
Gainesville,4.035,1.75
Ghaziabad,2.852,1.8
Goa,4.245,3.65
Gurgaon,2.6514311270125224,1.8559928443649374
Guwahati,4.190476190476191,2.5238095238095237
Hepburn Springs,3.8,1.5
Huskisson,4.1,2.0
Hyderabad,4.344444444444445,2.888888888888889
Indore,3.97,2.75
Inner City,4.9,4.0
Inverloch,3.7,1.0
Jaipur,4.13,2.85
Jakarta,4.35625,3.0
Johannesburg,4.2,4.0
Kanpur,3.815,2.7
Kochi,4.08,2.05
Kolkata,4.255,2.85
Lakes Entrance,3.8,1.0
Lakeview,3.6,1.0
Lincoln,4.5,2.0
London,4.535,3.0
Lorn,3.6,2.0
Lucknow,4.1952380952380945,2.5714285714285716
Ludhiana,3.9799999999999995,2.65
Macedon,3.5,2.0
Macon,4.115,2.05
Makati City,4.65,3.0
Manchester,4.045,2.7
Mandaluyong City,4.625,3.75
Mangalore,3.745,2.5
Mayfield,2.9,2.0
Mc Millan,2.4,1.0
Middleton Beach,3.8,3.0
Miller,3.4,1.0
Mohali,4.3,2.0
Monroe,3.6,2.0
Montville,2.4,3.0
Mumbai,4.085,2.75
Mysore,3.6950000000000003,2.45
Nagpur,3.965,2.3
Nashik,3.5200000000000005,2.8
New Delhi,2.4388452402704184,1.6215969303855289
Noida,2.0362037037037037,1.6018518518518519
Ojo Caliente,3.6,3.0
Orlando,4.475,2.9
Palm Cove,4.4,3.0
Panchkula,4.2,4.0
Pasay City,4.366666666666667,4.0
Pasig City,4.633333333333334,3.0
Patna,3.4549999999999996,2.45
Paynesville,2.6,4.0
Penola,3.4,2.0
Pensacola,4.2,2.35
Phillip Island,3.7,2.0
Pocatello,3.4850000000000003,1.8
Potrero,3.3,2.0
Pretoria,4.1899999999999995,3.7
Princeton,4.0,4.0
Puducherry,3.7299999999999995,3.0
Pune,4.220000000000001,2.95
Quezon City,4.8,3.0
Ranchi,3.4549999999999996,2.05
Randburg,4.3,3.0
Rest of Hawaii,4.41,2.35
Rio de Janeiro,4.265,3.5
San Juan City,4.25,3.0
Sandton,4.3,3.8181818181818183
Santa Rosa,3.8,3.0
Savannah,4.154999999999999,2.35
Secunderabad,4.5,2.0
Sharjah,4.029999999999999,3.3
Singapore,3.575,3.65
Sioux City,3.7649999999999997,1.9
Surat,3.935,2.65
Sï¿½ï¿½o Paulo,3.53,3.6
Tagaytay City,4.5,3.0
Taguig City,4.525,3.5
Tampa Bay,4.41,2.55
Tangerang,4.300000000000001,3.0
Tanunda,4.4,3.0
Trentham East,4.1,2.0
Vadodara,4.025,2.6
Valdosta,3.715,2.25
Varanasi,3.5100000000000002,2.45
Vernonia,4.3,1.0
Victor Harbor,3.6,2.0
Vineland Station,4.3,4.0
Vizag,4.005,2.35
Waterloo,3.65,1.75
Weirton,3.9,2.0
Wellington City,4.25,3.25
Winchester Bay,3.2,2.0
Yorkton,3.3,2.0
ï¿½ï¿½stanbul,4.292857142857143,2.857142857142857
