ï»¿Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
6318506,Ooma,162,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365
5927248,Draft Gastro Pub,208,ï¿½ï¿½stanbul,"Caddebostan Mahallesi, Baï¿½ï¿½dat Caddesi, No 349, Kat 1, KadÛ±kï¿½_y, ï¿½ï¿½stanbul",Caddebostan,"Caddebostan, ï¿½ï¿½stanbul",29.07411609,40.96393456,Bar Food,130,Turkish Lira(TL),No,No,No,No,4,4.9,Dark Green,Excellent,522
6309903,Silantro Fil-Mex,162,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98009,14.55299,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621
6801374,Solita,215,Manchester,"37 Turner Street, Northern Quarter, Manchester M4 1DW",Northern Quarter,"Northern Quarter, Manchester",-2.237333333,53.4835,"American, Burger, Grill",50,Pounds(ï¿½ï¿½),No,No,No,No,3,4.9,Dark Green,Excellent,162
6501534,Cube - Tasting Kitchen,189,Inner City,"24 Albrecht Road, Maboneng Precinct, City and Suburban, Inner City",City and Suburban,"City and Suburban, Inner City",28.060192,-26.203278,"European, Contemporary",1540,Rand(R),No,No,No,No,4,4.9,Dark Green,Excellent,441
18339373,Urbanologi,189,Inner City,"1 Fox Street, Marshalltown, Inner City, Johannesburg",Marshalltown,"Marshalltown, Inner City",28.031863,-26.207091,Tapas,700,Rand(R),No,No,No,No,4,4.9,Dark Green,Excellent,194
5901782,Starbucks,208,ï¿½ï¿½stanbul,"Bebek Mahallesi, Cevdetpaï¿½ï¿½a Caddesi, No 30/A, Beï¿½ï¿½iktaï¿½ï¿½, ï¿½ï¿½stanbul",Bebek,"Bebek, ï¿½ï¿½stanbul",29.04373437,41.07769599,Cafe,30,Turkish Lira(TL),No,No,No,No,2,4.9,Dark Green,Excellent,1042
6202039,Mainland China Restaurant,166,Doha,"1st Floor, Barwa Towers, Suhaim Bin Hamad Street, Al Sadd, Doha","Barwa Towers, Al Sadd","Barwa Towers, Al Sadd, Doha",51.50505289,25.28599626,Chinese,250,Qatari Rial(QR),No,No,No,No,4,4.9,Dark Green,Excellent,182
6114338,Flat Iron,215,London,"17 Beak Street, Soho, London W1F 9RW","Beak Street, Soho","Beak Street, Soho, London",-0.138343,51.512069,Steak,35,Pounds(ï¿½ï¿½),No,No,No,No,2,4.9,Dark Green,Excellent,309
